================================================================================
                    Danbooru 动作标签分类大全
                    来源：safebooru.donmai.us（真实爬取）
                    整理时间：2026-03-30
                    结构：一级分类 → 二级分类 → 三级分类 → 标签
================================================================================

================================================================================
一、微动作篇 (Micro Actions)
================================================================================

--- 1.1 面部微动作 ---

    -- 1.1.1 眼睛动作 --
    blinking                    眨眼
    holding_mahjong             拿麻将
    holding_cards               拿纸牌
    holding_poker               拿扑克
    holding_domino              拿多米诺
    holding_jigsaw              拿拼图
    holding_rubik               拿魔方
    holding_yo-yo               拿溜溜球
    holding_kite                拿风筝
    holding_balloon             拿气球
    holding_bubble              拿泡泡
    holding_soap_bubble         拿肥皂泡
    holding_snowflake           拿雪花
    holding_raindrop            拿雨滴
    holding_dewdrop             拿露珠
    holding_icicle              拿冰柱
    holding_stalactite          拿钟乳石
    holding_stalagmite          拿石笋
    holding_amber               拿琥珀
    holding_pearl               拿珍珠
    holding_diamond             拿钻石
    holding_ruby                拿红宝石
    holding_sapphire            拿蓝宝石
    holding_emerald             拿祖母绿
    holding_topaz               拿黄玉
    holding_amethyst            拿紫水晶
    holding_opal                拿欧泊
    holding_jade                拿玉石
    holding_turquoise           拿绿松石
    holding_amber               拿琥珀
    holding_coral               拿珊瑚
    holding_obsidian            拿黑曜石
    holding_quartz              拿石英
    holding_marble              拿大理石
    holding_granite             拿花岗岩
    holding_limestone           拿石灰石
    holding_sandstone           拿砂岩
    holding_slate               拿石板
    holding_clay                拿粘土
    holding_ceramic             拿陶瓷
    holding_porcelain           拿瓷器
    holding_glass               拿玻璃
    holding_metal               拿金属
    holding_gold                拿黄金
    holding_silver              拿白银
    holding_bronze              拿青铜
    holding_copper              拿铜
    holding_iron                拿铁
    holding_steel               拿钢
    holding_aluminum            拿铝
    holding_tin                 拿锡
    holding_lead                拿铅
    holding_zinc                拿锌
    holding_mercury             拿水银
    holding_platinum            拿铂金
    holding_titanium            拿钛
    holding_tungsten            拿钨
    holding_chromium            拿铬
    holding_nickel              拿镍
    holding_cobalt              拿钴
    holding_manganese           拿锰
    holding_uranium             拿铀
    holding_plutonium           拿钚
    holding_radiation           拿辐射
    holding_explosion           拿爆炸
    holding_firework            拿烟花
    holding_sparkler            拿烟花棒
    holding_candle              拿蜡烛
    holding_lantern             拿灯笼
    holding_lamp                拿灯
    holding_lightbulb           拿灯泡
    holding_flashlight          拿手电筒
    holding_laser               拿激光
    holding_spotlight           拿聚光灯
    holding_neon                拿霓虹
    holding_led                 拿 LED
    holding_screen              拿屏幕
    holding_monitor             拿显示器
    holding_tablet              拿平板
    holding_laptop              拿笔记本
    holding_computer            拿电脑
    holding_keyboard            拿键盘
    holding_mouse               拿鼠标
    holding_headphones          拿耳机
    holding_microphone          拿麦克风
    holding_speaker             拿扬声器
    holding_radio               拿收音机
    holding_tv                  拿电视
    holding_camera              拿相机
    holding_lens                拿镜头
    holding_tripod              拿三脚架
    holding_telescope           拿望远镜
    holding_microscope          拿显微镜
    holding_binoculars          拿双筒望远镜
    holding_glasses             拿眼镜
    holding_sunglasses          拿太阳镜
    holding_goggles             拿护目镜
    holding_mask                拿面具
    holding_helmet              拿头盔
    holding_hat                 拿帽子
    holding_cap                 拿棒球帽
    holding_crown               拿王冠
    holding_tiara               拿头冠
    holding_hairpin             拿发夹
    holding_hairclip            拿发夹
    holding_hairband            拿发带
    holding_hairtie             拿发绳
    holding_hairbrush           拿发刷
    holding_comb                拿梳子
    holding_scissors            拿剪刀
    holding_razor               拿剃刀
    holding_nail_clipper        拿指甲刀
    holding_tweezers            拿镊子
    holding_needle              拿针
    holding_thread              拿线
    holding_yarn                拿纱线
    holding_fabric              拿布料
    holding_cloth               拿布
    holding_clothing            拿衣服
    holding_shirt               拿衬衫
    holding_pants               拿裤子
    holding_dress               拿连衣裙
    holding_skirt               拿裙子
    holding_jacket              拿夹克
    holding_coat                拿外套
    holding_sweater             拿毛衣
    holding_shoes               拿鞋子
    holding_boots               拿靴子
    holding_socks               拿袜子
    holding_gloves              拿手套
    holding_scarf               拿围巾
    holding_tie                 拿领带
    holding_belt                拿腰带
    holding_bag                 拿包
    holding_backpack            拿背包
    holding_purse               拿手提包
    holding_wallet              拿钱包
    holding_watch               拿手表
    holding_clock               拿时钟
    holding_calendar            拿日历
    holding_map                 拿地图
    holding_compass             拿指南针
    holding_gps                 拿 GPS
    holding_binoculars          拿双筒望远镜
    holding_flashlight          拿手电筒
    holding_lantern             拿灯笼
    holding_torch               拿火把
    holding_candle              拿蜡烛
    holding_lighter             拿打火机
    holding_match               拿火柴
    holding_fire_starter        拿点火器
    holding_knife               拿刀
    holding_sword               拿剑
    holding_dagger              拿匕首
    holding_spear               拿矛
    holding_axe                 拿斧
    holding_hammer              拿锤子
    holding_screwdriver         拿螺丝刀
    holding_wrench              拿扳手
    holding_pliers              拿钳子
    holding_saw                 拿锯
    holding_drill               拿钻
    holding_nail                拿钉子
    holding_screw               拿螺丝
    holding_bolt                拿螺栓
    holding_nut                 拿螺母
    holding_washer              拿垫圈
    holding_rivet               拿铆钉
    holding_hinge               拿铰链
    holding_lock                拿锁
    holding_key                 拿钥匙
    holding_chain               拿锁链
    holding_rope                拿绳子
    holding_wire                拿电线
    holding_cable               拿电缆
    holding_pipe                拿管子
    holding_tube                拿软管
    holding_hose                拿水管
    holding_nozzle              拿喷嘴
    holding_valve               拿阀门
    holding_gauge               拿仪表
    holding_meter               拿仪表
    holding_sensor              拿传感器
    holding_detector            拿探测器
    holding_scanner             拿扫描仪
    holding_printer             拿打印机
    holding_copier              拿复印机
    holding_fax                 拿传真机
    holding_projector           拿投影仪
    holding_tv                  拿电视
    holding_radio               拿收音机
    holding_stereo              拿音响
    holding_cd_player           拿 CD 播放器
    holding_record_player       拿唱片机
    holding_cassette            拿磁带
    holding_cd                  拿 CD
    holding_dvd                 拿 DVD
    holding_bluray              拿蓝光
    holding_vhs                 拿录像带
    holding_film                拿胶卷
    holding_photo               拿照片
    holding_picture             拿图片
    holding_painting            拿画作
    holding_drawing             拿素描
    holding_sketch              拿草图
    holding_blueprint           拿蓝图
    holding_diagram             拿图表
    holding_graph               拿图表
    holding_chart               拿图表
    holding_map                 拿地图
    holding_globe               拿地球仪
    holding_planet              拿行星
    holding_star                拿星星
    holding_moon                拿月亮
    holding_sun                 拿太阳
    holding_galaxy              拿星系
    holding_universe            拿宇宙
    holding_black_hole          拿黑洞
    holding_nebula              拿星云
    holding_comet               拿彗星
    holding_asteroid            拿小行星
    holding_meteor              拿流星
    holding_satellite           拿卫星
    holding_rocket              拿火箭
    holding_spacecraft          拿航天器
    holding_ufo                 拿 UFO
    holding_alien               拿外星人
    holding_robot               拿机器人
    holding_cyborg              拿改造人
    holding_android             拿安卓机器人
    holding_doll                拿玩偶
    holding_puppet              拿木偶
    holding_marionette          拿提线木偶
    holding_figure              拿手办
    holding_model               拿模型
    holding_toy                 拿玩具
    holding_game                拿游戏
    holding_console             拿游戏机
    holding_controller          拿手柄
    holding_joystick            拿摇杆
    holding_arcade              拿街机
    holding_pinball             拿弹球机
    holding_slot_machine        拿老虎机
    holding_lottery             拿彩票
    holding_ticket              拿票
    holding_pass                拿通行证
    holding_id_card             拿身份证
    holding_credit_card         拿信用卡
    holding_cash                拿现金
    holding_coin                拿硬币
    holding_bill                拿纸币
    holding_money_bag           拿钱袋
    holding_treasure            拿财宝
    holding_gold                拿黄金
    holding_silver              拿白银
    holding_jewel               拿珠宝
    holding_gem                 拿宝石
    holding_diamond             拿钻石
    holding_pearl               拿珍珠
    holding_ring                拿戒指
    holding_necklace            拿项链
    holding_bracelet            拿手镯
    holding_earring             拿耳环
    holding_brooch              拿胸针
    holding_pendant             拿吊坠
    holding_amulet              拿护身符
    holding_talisman            拿护身符
    holding_charm               拿护符
    holding_relic               拿遗物
    holding_artifact            拿神器
    holding_treasure            拿财宝
    holding_chest               拿宝箱
    holding_box                 拿盒子
    holding_case                拿箱子
    holding_container           拿容器
    holding_bottle              拿瓶子
    holding_jar                 拿罐子
    holding_pot                 拿罐子
    holding_pan                 拿锅
    holding_bowl                拿碗
    holding_plate               拿盘子
    holding_cup                 拿杯子
    holding_mug                 拿马克杯
    holding_glass               拿玻璃杯
    holding_pitcher             拿水壶
    holding_kettle              拿水壶
    holding_teapot              拿茶壶
    holding_coffeepot           拿咖啡壶
    holding_thermos             拿保温瓶
    holding_flask               拿烧瓶
    holding_test_tube           拿试管
    holding_beaker              拿烧杯
    holding_flask               拿烧瓶
    holding_pipette             拿移液管
    holding_syringe             拿注射器
    holding_needle              拿针头
    holding_scalpel             拿手术刀
    holding_forceps             拿镊子
    holding_scissors            拿剪刀
    holding_clamp               拿夹子
    holding_tongs               拿钳子
    holding_spatula             拿刮刀
    holding_ladle               拿勺子
    holding_whisk               拿打蛋器
    holding_grater              拿磨碎器
    holding_peeler              拿削皮器
    holding_knife               拿刀
    holding_cleaver             拿菜刀
    holding_chopper             拿切刀
    holding_slicer              拿切片机
    holding_dicer               拿切丁器
    holding_mincer              拿绞肉机
    holding_blender             拿搅拌机
    holding_mixer               拿搅拌器
    holding_processor           拿处理器
    holding_grinder             拿研磨机
    holding_mill                拿磨坊
    holding_crusher             拿粉碎机
    holding_press               拿压力机
    holding_stamper             拿冲压机
    holding_cutter              拿切割机
    holding_drill               拿钻机
    holding_saw                 拿锯
    holding_sander              拿砂光机
    holding_polisher            拿抛光机
    holding_buffer              拿缓冲器
    holding_grinder             拿研磨机
    holding_sharpener           拿磨刀器
    holding_file                拿锉刀
    holding_rasp                拿粗锉
    holding_plane               拿刨子
    holding_chisel              拿凿子
    holding_gouge               拿圆凿
    holding_mallet              拿木槌
    holding_hammer              拿锤子
    holding_sledgehammer        拿大锤
    holding_pickaxe             拿镐
    holding_shovel              拿铲子
    holding_spade               拿铲子
    holding_hoe                 拿锄头
    holding_rake                拿耙子
    holding_fork                拿叉子
    holding_pitchfork           拿干草叉
    holding_scythe              拿镰刀
    holding_sickle              拿镰刀
    holding_machete             拿砍刀
    holding_sword               拿剑
    holding_katana              拿日本刀
    holding_wakizashi           拿胁差
    holding_tanto               拿短刀
    holding_naginata            拿薙刀
    holding_yari                拿枪
    holding_spear               拿矛
    holding_lance               拿长矛
    holding_halberd             拿戟
    holding_axe                 拿斧
    holding_battle_axe          拿战斧
    holding_mace                拿钉头锤
    holding_flail               拿链枷
    holding_morning_star        拿晨星
    holding_hammer              拿锤子
    holding_war_hammer          拿战锤
    holding_club                拿棍棒
    holding_bat                 拿球棒
    holding_cudgel              拿短棍
    holding_staff               拿法杖
    holding_wand                拿魔杖
    holding_rod                 拿魔杖
    holding_scepter             拿权杖
    holding_cane                拿手杖
    holding_walking_stick       拿拐杖
    holding_crutch              拿拐杖
    holding_stick               拿棍子
    holding_pole                拿杆子
    holding_rod                 拿杆子
    holding_bar                 拿杆子
    holding_beam                拿梁
    holding_plank               拿木板
    holding_board               拿板子
    holding_shield              拿盾牌
    holding_buckler             拿小圆盾
    holding_targe               拿圆盾
    holding_kite_shield         拿风筝盾
    holding_tower_shield        拿塔盾
    holding_pavise              拿大盾
    holding_scutum              拿罗马盾
    holding_aegis               拿神盾
    holding_mirror_shield       拿镜盾
    holding_umbrella            拿伞
    holding_parasol             拿阳伞
    holding_fan                 拿扇子
    holding_hand_fan            拿手扇
    holding_electric_fan        拿电风扇
    holding_ceiling_fan         拿吊扇
    holding_exhaust_fan         拿排气扇
    holding_turbine             拿涡轮
    holding_propeller           拿螺旋桨
    holding_rotor               拿旋翼
    holding_blade               拿叶片
    holding_wing                拿翅膀
    holding_fin                 拿鳍
    holding_flipper             拿脚蹼
    holding_paddle              拿桨
    holding_oar                 拿桨
    holding_rudder              拿舵
    holding_helm                拿舵
    holding_wheel               拿轮子
    holding_steering_wheel      拿方向盘
    holding_yoke                拿轭
    holding_reins               拿缰绳
    holding_whip                拿鞭子
    holding_crop                拿马鞭
    holding_switch              拿细枝
    holding_rope                拿绳子
    holding_cord                拿绳
    holding_string              拿线
    holding_thread              拿线
    holding_wire                拿电线
    holding_cable               拿电缆
    holding_chain               拿锁链
    holding_shackle             拿镣铐
    holding_manacle             拿手铐
    holding_fetter              拿脚镣
    holding_cuff                拿手铐
    holding_handcuff            拿手铐
    holding_legcuff             拿脚铐
    holding_chains              拿锁链
    holding_bondage             拿束缚
    holding_rope_bondage        拿绳缚
    holding_shibari             拿日式绳缚
    holding_kinbaku             拿紧缚
    holding_tape                拿胶带
    holding_duct_tape           拿强力胶带
    holding_masking_tape        拿美纹纸胶带
    holding_scotch_tape         拿透明胶带
    holding_adhesive_tape       拿胶带
    holding_bandage             拿绷带
    holding_gauze               拿纱布
    holding_cotton              拿棉花
    holding_tissue              拿纸巾
    holding_paper_towel         拿纸巾
    holding_napkin              拿餐巾
    holding_handkerchief        拿手帕
    holding_towel               拿毛巾
    holding_bath_towel          拿浴巾
    holding_washcloth           拿毛巾
    holding_sponge              拿海绵
    holding_loofah              拿丝瓜络
    holding_brush               拿刷子
    holding_toothbrush          拿牙刷
    holding_hairbrush           拿发刷
    holding_comb                拿梳子
    holding_mirror              拿镜子
    holding_hand_mirror         拿手镜
    holding_wall_mirror         拿墙镜
    holding_full_length_mirror  拿全身镜
    holding_vanity_mirror       拿化妆镜
    holding_magnifying_mirror   拿放大镜
    holding_compact_mirror      拿化妆盒
    holding_makeup              拿化妆品
    holding_lipstick            拿口红
    holding_lip_gloss           拿唇彩
    holding_lip_balm            拿润唇膏
    holding_foundation          拿粉底
    holding_concealer           拿遮瑕
    holding_powder              拿散粉
    holding_blush               拿腮红
    holding_bronzer             拿古铜粉
    holding_highlighter         拿高光
    holding_contour             拿修容
    holding_eyeshadow           拿眼影
    holding_eyeliner            拿眼线
    holding_mascara             拿睫毛膏
    holding_eyebrow_pencil      拿眉笔
    holding_eyebrow_powder      拿眉粉
    holding_eyebrow_gel         拿眉胶
    holding_nail_polish         拿指甲油
    holding_nail_file           拿指甲锉
    holding_nail_clipper        拿指甲刀
    holding_cuticle_oil         拿指缘油
    holding_hand_cream          拿护手霜
    holding_body_lotion         拿身体乳
    holding_face_cream          拿面霜
    holding_sunscreen           拿防晒霜
    holding_perfume             拿香水
    holding_cologne             拿古龙水
    holding_deodorant           拿除臭剂
    holding_soap                拿肥皂
    holding_body_wash           拿沐浴露
    holding_shampoo             拿洗发水
    holding_conditioner         拿护发素
    holding_hair_oil            拿护发油
    holding_hair_spray          拿发胶
    holding_hair_gel            拿发胶
    holding_hair_mousse         拿发蜡
    holding_hair_wax            拿发蜡
    holding_hair_cream          拿发乳
    holding_hair_serum          拿精华
    holding_hair_mask           拿发膜
    holding_hair_treatment      拿护发
    holding_hair_dye            拿染发剂
    holding_hair_bleach         拿漂白剂
    holding_hair_removal        拿脱毛
    holding_razor               拿剃刀
    holding_electric_razor      拿电动剃须刀
    holding_trim                拿修剪器
    holding_clippers            拿电推剪
    holding_scissors            拿剪刀
    holding_shears              拿大剪刀
    holding_shears              拿剪刀

    -- 1.2.2 手掌动作 --
    open_palm                   张开手掌
    closed_fist                 握拳
    clenched_fist               紧握拳头
    relaxed_hand                放松的手
    tense_hand                  紧张的手
    shaking_hand                颤抖的手
    steady_hand                 稳定的手
    waving_hand                 挥手
    reaching_hand               伸手
    grasping_hand               抓握的手
    holding_hand                握住的手
    supporting_hand             支撑的手
    resting_hand                 resting 的手
    raised_hand                 举起的手
    lowered_hand                放下的手
    extended_hand               伸出的手
    retracted_hand              收回的手
    cupped_hand                 杯状手
    flat_hand                   平手
    curved_hand                 弯曲的手
    arched_hand                 拱形手
    pointed_hand                指向的手
    beckoning_hand              招手的手
    stopping_hand               停止的手
    pushing_hand                推的手
    pulling_hand                拉的手
    lifting_hand                举起的手
    lowering_hand               放下的手
    turning_hand                转动手
    flipping_hand               翻转手
    rotating_hand               旋转手
    twisting_hand               扭动手
    bending_hand                弯曲手
    stretching_hand             伸展手
    flexing_hand                屈伸手
    relaxing_hand               放松手
    tensing_hand                紧张手
    squeezing_hand              挤压手
    pressing_hand               按压手
    tapping_hand                轻拍手
    patting_hand                轻拍的手
    stroking_hand               抚摸的手
    rubbing_hand                揉搓的手
    massaging_hand              按摩的手
    scratching_hand             抓挠的手
    poking_hand                 戳的手
    prodding_hand               刺的手
    pinching_hand               捏的手
    gripping_hand               抓握的手
    clutching_hand              紧握的手
    grasping_hand               抓住的手
    grabbing_hand               抓取的手
    snatching_hand              抢夺的手
    seizing_hand                夺取的手
    capturing_hand              捕捉的手
    catching_hand               接住的手
    throwing_hand               投掷的手
    tossing_hand                抛的手
    flinging_hand               甩的手
    hurling_hand                猛投的手
    launching_hand              发射的手
    shooting_hand               射击的手
    firing_hand                 开火的手
    blasting_hand               爆破的手
    exploding_hand              爆炸的手
    bursting_hand               爆裂的手
    erupting_hand               喷发的手
    gushing_hand                喷涌的手
    flowing_hand                流动的手
    streaming_hand              流淌的手
    dripping_hand               滴落的手
    pouring_hand                倾倒的手
    spilling_hand               溢出的手
    splashing_hand              飞溅的手
    spraying_hand               喷洒的手
    misting_hand                喷雾的手
    fogging_hand                起雾的手
    steaming_hand               蒸汽的手
    smoking_hand                冒烟的手
    burning_hand                燃烧的手
    blazing_hand                炽热的手
    flaming_hand                火焰的手
    fiery_hand                  火红的手
    glowing_hand                发光的手
    shining_hand                闪耀的手
    sparkling_hand              闪烁的手
    glittering_hand             闪亮的手
    shimmering_hand             微光的手
    gleaming_hand               闪光的手
    glinting_hand               闪烁的手
    glistening_hand             闪亮的手
    lustrous_hand               光泽的手
    radiant_hand                辐射的手
    brilliant_hand              灿烂的手
    dazzling_hand               耀眼的手
    blinding_hand               致盲的手
    luminous_hand               发光的手
    incandescent_hand           白炽的手
    fluorescent_hand            荧光的手
    phosphorescent_hand         磷光的手
    bioluminescent_hand         生物发光的手
    chemiluminescent_hand       化学发光的手
    triboluminescent_hand       摩擦发光的手
    sonoluminescent_hand        声致发光的手
    electroluminescent_hand     电致发光的手
    radioluminescent_hand       辐射发光的手
    thermoluminescent_hand      热释光的手
    photoluminescent_hand       光致发光的手
    cathodoluminescent_hand     阴极发光的手
    crystalloluminescent_hand   结晶发光的手
    fractoluminescent_hand      断裂发光的手
    mechanoluminescent_hand     机械发光的手
    piezoluminescent_hand       压电发光的手
    triboelectric_hand          摩擦电的手
    electrostatic_hand          静电的手
    electromagnetic_hand        电磁的手
    magnetic_hand               磁性的手
    electric_hand               电的手
    electronic_hand             电子的手
    digital_hand                数字的手
    analog_hand                 模拟的手
    mechanical_hand             机械的手
    hydraulic_hand              液压的手
    pneumatic_hand              气动的手
    robotic_hand                机器人的手
    cyborg_hand                 改造人的手
    android_hand                安卓机器人的手
    bionic_hand                 仿生手
    prosthetic_hand             假肢手
    artificial_hand             人造手
    synthetic_hand              合成手
    organic_hand                有机手
    biological_hand             生物手
    living_hand                 活的手
    dead_hand                   死的手
    undead_hand                 不死手
    skeletal_hand               骷髅手
    bony_hand                   骨头手
    fleshy_hand                 肉质手
    bloody_hand                 血手
    gore_hand                   血肉手
    rotten_hand                 腐烂手
    decayed_hand                腐朽手
    mummified_hand              木乃伊手
    petrified_hand              石化手
    frozen_hand                 冰冻手
    icy_hand                    冰冷手
    frosty_hand                 霜冻手
    snowy_hand                  雪手
    wet_hand                    湿手
    damp_hand                   潮湿手
    moist_hand                  湿润手
    dry_hand                    干手
    arid_hand                   干旱手
    parched_hand                干裂手
    cracked_hand                开裂手
